1.dzn,Elapsed time: 60,094
2.dzn,Elapsed time: 0,383
3.dzn,Elapsed time: 0,199
4.dzn,Elapsed time: 0,165
5.dzn,Elapsed time: 0,191
6.dzn,Elapsed time: 0,173
7.dzn,Elapsed time: 0,251
8.dzn,Elapsed time: 0,196
9.dzn,Elapsed time: 0,153
10.dzn,Elapsed time: 0,224
11.dzn,Elapsed time: 0,263
12.dzn,Elapsed time: 60,082
13.dzn,Elapsed time: 60,078
14.dzn,Elapsed time: 60,079
15.dzn,Elapsed time: 0,196
16.dzn,Elapsed time: 0,211
17.dzn,Elapsed time: 0,271
18.dzn,Elapsed time: 0,215
19.dzn,Elapsed time: 52,834
20.dzn,Elapsed time: 0,172
