1.dzn,Elapsed time: 0,195
2.dzn,Elapsed time: 0,182
3.dzn,Elapsed time: 0,188
4.dzn,Elapsed time: 0,167
5.dzn,Elapsed time: 0,185
6.dzn,Elapsed time: 0,163
7.dzn,Elapsed time: 60,050
8.dzn,Elapsed time: 0,180
9.dzn,Elapsed time: 0,733
10.dzn,Elapsed time: 60,084
11.dzn,Elapsed time: 0,184
12.dzn,Elapsed time: 60,081
13.dzn,Elapsed time: 60,079
14.dzn,Elapsed time: 60,079
15.dzn,Elapsed time: 0,201
16.dzn,Elapsed time: 0,197
17.dzn,Elapsed time: 0,346
18.dzn,Elapsed time: 0,201
19.dzn,Elapsed time: 59,049
20.dzn,Elapsed time: 3,802
