1.dzn,Elapsed time: 0,231
2.dzn,Elapsed time: 0,169
3.dzn,Elapsed time: 0,221
4.dzn,Elapsed time: 0,165
5.dzn,Elapsed time: 0,187
6.dzn,Elapsed time: 0,168
7.dzn,Elapsed time: 1,860
8.dzn,Elapsed time: 0,189
9.dzn,Elapsed time: 0,158
10.dzn,Elapsed time: 0,235
11.dzn,Elapsed time: 9,078
12.dzn,Elapsed time: 0,178
13.dzn,Elapsed time: 0,179
14.dzn,Elapsed time: 0,173
15.dzn,Elapsed time: 0,288
16.dzn,Elapsed time: 0,206
17.dzn,Elapsed time: 0,173
18.dzn,Elapsed time: 0,184
19.dzn,Elapsed time: 0,205
20.dzn,Elapsed time: 0,174
