1.dzn,Elapsed time: 0,242
2.dzn,Elapsed time: 0,223
3.dzn,Elapsed time: 0,250
4.dzn,Elapsed time: 0,224
5.dzn,Elapsed time: 0,248
6.dzn,Elapsed time: 0,220
7.dzn,Elapsed time: 0,257
8.dzn,Elapsed time: 0,249
9.dzn,Elapsed time: 0,205
10.dzn,Elapsed time: 0,247
11.dzn,Elapsed time: 0,220
12.dzn,Elapsed time: 0,227
13.dzn,Elapsed time: 0,223
14.dzn,Elapsed time: 0,230
15.dzn,Elapsed time: 0,249
16.dzn,Elapsed time: 0,255
17.dzn,Elapsed time: 0,219
18.dzn,Elapsed time: 0,247
19.dzn,Elapsed time: 0,228
20.dzn,Elapsed time: 0,219
