1.dzn,0,201
2.dzn,0,262
3.dzn,0,219
4.dzn,19,236
5.dzn,0,182
6.dzn,0,164
7.dzn,0,189
8.dzn,0,469
9.dzn,N/A
10.dzn,0,202
11.dzn,0,542
12.dzn,0,171
13.dzn,20,392
14.dzn,0,174
15.dzn,0,211
16.dzn,2,948
17.dzn,0,167
18.dzn,0,208
19.dzn,0,188
20.dzn,0,166
