1.dzn,Elapsed time: 0,233
2.dzn,Elapsed time: 0,224
3.dzn,Elapsed time: 0,250
4.dzn,Elapsed time: 0,226
5.dzn,Elapsed time: 0,253
6.dzn,Elapsed time: 0,221
7.dzn,Elapsed time: 0,257
8.dzn,Elapsed time: 0,252
9.dzn,Elapsed time: 0,206
10.dzn,Elapsed time: 0,249
11.dzn,Elapsed time: 0,219
12.dzn,Elapsed time: 0,230
13.dzn,Elapsed time: 0,221
14.dzn,Elapsed time: 0,230
15.dzn,Elapsed time: 0,251
16.dzn,Elapsed time: 0,248
17.dzn,Elapsed time: 0,224
18.dzn,Elapsed time: 0,246
19.dzn,Elapsed time: 0,227
20.dzn,Elapsed time: 0,220
