1.dzn,Elapsed time: 0,223
2.dzn,Elapsed time: 0,200
3.dzn,Elapsed time: 0,223
4.dzn,Elapsed time: 0,196
5.dzn,Elapsed time: 0,219
6.dzn,Elapsed time: 0,192
7.dzn,Elapsed time: 0,223
8.dzn,Elapsed time: 0,218
9.dzn,Elapsed time: 0,183
10.dzn,Elapsed time: 0,216
11.dzn,Elapsed time: 0,197
12.dzn,Elapsed time: 0,201
13.dzn,Elapsed time: 0,193
14.dzn,Elapsed time: 0,202
15.dzn,Elapsed time: 0,218
16.dzn,Elapsed time: 0,216
17.dzn,Elapsed time: 0,192
18.dzn,Elapsed time: 0,216
19.dzn,Elapsed time: 0,203
20.dzn,Elapsed time: 0,194
