1.dzn,Elapsed time: 0,235
2.dzn,Elapsed time: 0,201
3.dzn,Elapsed time: 0,224
4.dzn,Elapsed time: 0,201
5.dzn,Elapsed time: 0,220
6.dzn,Elapsed time: 0,195
7.dzn,Elapsed time: 0,230
8.dzn,Elapsed time: 0,222
9.dzn,Elapsed time: 0,185
10.dzn,Elapsed time: 0,219
11.dzn,Elapsed time: 0,199
12.dzn,Elapsed time: 0,207
13.dzn,Elapsed time: 0,201
14.dzn,Elapsed time: 0,208
15.dzn,Elapsed time: 0,225
16.dzn,Elapsed time: 0,219
17.dzn,Elapsed time: 0,198
18.dzn,Elapsed time: 0,221
19.dzn,Elapsed time: 0,205
20.dzn,Elapsed time: 0,195
