1.dzn,Elapsed time: 0,200
2.dzn,Elapsed time: 0,182
3.dzn,Elapsed time: 0,198
4.dzn,Elapsed time: 0,182
5.dzn,Elapsed time: 0,198
6.dzn,Elapsed time: 0,175
7.dzn,Elapsed time: 0,229
8.dzn,Elapsed time: 0,194
9.dzn,Elapsed time: 0,168
10.dzn,Elapsed time: 0,197
11.dzn,Elapsed time: 0,185
12.dzn,Elapsed time: 60,082
13.dzn,Elapsed time: 0,188
14.dzn,Elapsed time: 60,078
15.dzn,Elapsed time: 0,204
16.dzn,Elapsed time: 0,198
17.dzn,Elapsed time: 60,083
18.dzn,Elapsed time: 0,218
19.dzn,Elapsed time: 1,262
20.dzn,Elapsed time: 0,173
