1.dzn,Elapsed time: 0,588
2.dzn,Elapsed time: 2,424
3.dzn,Elapsed time: 0,187
4.dzn,Elapsed time: 0,167
5.dzn,Elapsed time: 0,197
6.dzn,Elapsed time: 0,163
7.dzn,Elapsed time: 0,191
8.dzn,Elapsed time: 0,187
9.dzn,Elapsed time: 0,165
10.dzn,Elapsed time: 5,289
11.dzn,Elapsed time: 0,186
12.dzn,Elapsed time: 1,793
13.dzn,Elapsed time: 0,171
14.dzn,Elapsed time: 60,081
15.dzn,Elapsed time: 60,080
16.dzn,Elapsed time: 0,196
17.dzn,Elapsed time: 2,513
18.dzn,Elapsed time: 0,189
19.dzn,Elapsed time: 60,076
20.dzn,Elapsed time: 31,017
