1.dzn,Elapsed time: 0,232
2.dzn,Elapsed time: 0,228
3.dzn,Elapsed time: 0,253
4.dzn,Elapsed time: 0,222
5.dzn,Elapsed time: 0,250
6.dzn,Elapsed time: 0,220
7.dzn,Elapsed time: 0,257
8.dzn,Elapsed time: 0,249
9.dzn,Elapsed time: 0,202
10.dzn,Elapsed time: 0,248
11.dzn,Elapsed time: 0,225
12.dzn,Elapsed time: 0,227
13.dzn,Elapsed time: 0,221
14.dzn,Elapsed time: 0,230
15.dzn,Elapsed time: 0,251
16.dzn,Elapsed time: 0,246
17.dzn,Elapsed time: 0,219
18.dzn,Elapsed time: 0,251
19.dzn,Elapsed time: 0,230
20.dzn,Elapsed time: 0,221
